method	n	seed	col	coverage	r2	length	group	subgroup	cv
CalPred	10000	0	age_q_0	0.9516441005802708	0.007927577451458867	0.8223238665946628	Age	0	1
CalPred	10000	0	age_q_0	0.9516441005802708	0.005866676635275103	0.8223238665946628	Age	0	2
CalPred	10000	0	age_q_0	0.9516441005802708	0.004747259825476366	0.8223238665946628	Age	0	3
CalPred	10000	0	age_q_0	0.9516441005802708	0.011766128542177555	0.8223238665946628	Age	0	4
CalPred	10000	0	age_q_0	0.9516441005802708	0.0008188303827061065	0.8223238665946628	Age	0	5
CalPred	10000	0	age_q_4	0.9457236842105264	0.0011400079791372608	0.9736846405818328	Age	4	1
CalPred	10000	0	age_q_4	0.9457236842105264	0.001799907588158937	0.9736846405818328	Age	4	2
CalPred	10000	0	age_q_4	0.9457236842105264	0.003862930758387965	0.9736846405818328	Age	4	3
CalPred	10000	0	age_q_4	0.9457236842105264	0.0011599939818346429	0.9736846405818328	Age	4	4
CalPred	10000	0	age_q_4	0.9457236842105264	0.002358466946704423	0.9736846405818328	Age	4	5
CalPred	10000	0	age_q_4	0.9516129032258064	0.0011400079791372608	0.9653787952335134	Age	4	1
CalPred	10000	0	age_q_4	0.9516129032258064	0.001799907588158937	0.9653787952335134	Age	4	2
CalPred	10000	0	age_q_4	0.9516129032258064	0.003862930758387965	0.9653787952335134	Age	4	3
CalPred	10000	0	age_q_4	0.9516129032258064	0.0011599939818346429	0.9653787952335134	Age	4	4
CalPred	10000	0	age_q_4	0.9516129032258064	0.002358466946704423	0.9653787952335134	Age	4	5
CalPred	10000	0	age_q_9	0.9455894476504534	0.004020657662164804	0.9688825726121651	Age	9	1
CalPred	10000	0	age_q_9	0.9455894476504534	0.0015651006678587727	0.9688825726121651	Age	9	2
CalPred	10000	0	age_q_9	0.9455894476504534	0.006955036028922301	0.9688825726121651	Age	9	3
CalPred	10000	0	age_q_9	0.9455894476504534	0.002495329915501563	0.9688825726121651	Age	9	4
CalPred	10000	0	age_q_9	0.9455894476504534	0.006710793138323087	0.9688825726121651	Age	9	5
CalPred	10000	0	education_q_1	0.9567307692307692	0.008261795974368462	1.0576178935508724	Education	1	1
CalPred	10000	0	education_q_1	0.9567307692307692	0.010814954882747327	1.0576178935508724	Education	1	2
CalPred	10000	0	education_q_1	0.9567307692307692	0.0001327179017814524	1.0576178935508724	Education	1	3
CalPred	10000	0	education_q_1	0.9567307692307692	0.0010635009773398284	1.0576178935508724	Education	1	4
CalPred	10000	0	education_q_1	0.9567307692307692	0.000271448882760582	1.0576178935508724	Education	1	5
CalPred	10000	0	education_q_4	0.9557975656630364	0.004359839797537728	0.9289583545296384	Education	4	1
CalPred	10000	0	education_q_4	0.9557975656630364	0.00319988081684629	0.9289583545296384	Education	4	2
CalPred	10000	0	education_q_4	0.9557975656630364	0.004785635308249203	0.9289583545296384	Education	4	3
CalPred	10000	0	education_q_4	0.9557975656630364	0.003421749786846197	0.9289583545296384	Education	4	4
CalPred	10000	0	education_q_4	0.9557975656630364	0.0051131505995027455	0.9289583545296384	Education	4	5
CalPred	10000	0	income_q_1	0.9483146067415732	0.010775658994221319	1.0242270977230177	Income	1	1
CalPred	10000	0	income_q_1	0.9483146067415732	0.0018851663939492293	1.0242270977230177	Income	1	2
CalPred	10000	0	income_q_1	0.9483146067415732	0.0011247918372517525	1.0242270977230177	Income	1	3
CalPred	10000	0	income_q_1	0.9483146067415732	0.0012528610789453714	1.0242270977230177	Income	1	4
CalPred	10000	0	income_q_1	0.9483146067415732	0.006822377251244991	1.0242270977230177	Income	1	5
CalPred	10000	0	income_q_5	0.9560693641618496	0.0034858290382744103	0.961886712730278	Income	5	1
CalPred	10000	0	income_q_5	0.9560693641618496	0.0014276390128836246	0.961886712730278	Income	5	2
CalPred	10000	0	income_q_5	0.9560693641618496	0.005706326832318804	0.961886712730278	Income	5	3
CalPred	10000	0	income_q_5	0.9560693641618496	0.0020500971759334617	0.961886712730278	Income	5	4
CalPred	10000	0	income_q_5	0.9560693641618496	0.004914980357132929	0.961886712730278	Income	5	5
CalPred	10000	0	income_q_9	0.95483288166215	0.003259827443229535	0.9004659360870779	Income	9	1
CalPred	10000	0	income_q_9	0.95483288166215	0.0036591075282058584	0.9004659360870779	Income	9	2
CalPred	10000	0	income_q_9	0.95483288166215	0.0052307481406737785	0.9004659360870779	Income	9	3
CalPred	10000	0	income_q_9	0.95483288166215	0.002897599261581484	0.9004659360870779	Income	9	4
CalPred	10000	0	income_q_9	0.95483288166215	0.004975499555262159	0.9004659360870779	Income	9	5
CalPred	10000	0	marginal	0.9541	0.005475949268676993	0.9516465771196668	Overall		1
CalPred	10000	0	marginal	0.9541	0.003010230250493415	0.9516465771196668	Overall		2
CalPred	10000	0	marginal	0.9541	0.005738555112482843	0.9516465771196668	Overall		3
CalPred	10000	0	marginal	0.9541	0.0035284885368530717	0.9516465771196668	Overall		4
CalPred	10000	0	marginal	0.9541	0.005767544267675343	0.9516465771196668	Overall		5
CalPred	10000	0	sex_q_0	0.9552968960863698	0.007104011603377851	0.9235257267858182	Sex	0	1
CalPred	10000	0	sex_q_0	0.9552968960863698	0.0032090540744941654	0.9235257267858182	Sex	0	2
CalPred	10000	0	sex_q_0	0.9552968960863698	0.006760897524460472	0.9235257267858182	Sex	0	3
CalPred	10000	0	sex_q_0	0.9552968960863698	0.0038842798192936516	0.9235257267858182	Sex	0	4
CalPred	10000	0	sex_q_0	0.9552968960863698	0.006212350092987734	0.9235257267858182	Sex	0	5
CalPred	10000	0	sex_q_1	0.9523575638506876	0.0036292645521001973	0.992584789491733	Sex	1	1
CalPred	10000	0	sex_q_1	0.9523575638506876	0.002791531745612952	0.992584789491733	Sex	1	2
CalPred	10000	0	sex_q_1	0.9523575638506876	0.004485896936588896	0.992584789491733	Sex	1	3
CalPred	10000	0	sex_q_1	0.9523575638506876	0.0030996243009273963	0.992584789491733	Sex	1	4
CalPred	10000	0	sex_q_1	0.9523575638506876	0.005151498090819075	0.992584789491733	Sex	1	5
CalPred	10000	1	age_q_0	0.9458955223880596	0.01333388006187168	0.845737332229994	Age	0	1
CalPred	10000	1	age_q_0	0.9458955223880596	0.015590677380484287	0.845737332229994	Age	0	2
CalPred	10000	1	age_q_0	0.9458955223880596	0.007743151328804206	0.845737332229994	Age	0	3
CalPred	10000	1	age_q_0	0.9458955223880596	0.01842310712897037	0.845737332229994	Age	0	4
CalPred	10000	1	age_q_0	0.9458955223880596	0.01456581968457224	0.845737332229994	Age	0	5
CalPred	10000	1	age_q_4	0.9497161394971614	0.00615478061717161	0.965013851713748	Age	4	1
CalPred	10000	1	age_q_4	0.9497161394971614	0.005093704681398101	0.965013851713748	Age	4	2
CalPred	10000	1	age_q_4	0.9497161394971614	0.010495601185317997	0.965013851713748	Age	4	3
CalPred	10000	1	age_q_4	0.9497161394971614	0.010032290600009758	0.965013851713748	Age	4	4
CalPred	10000	1	age_q_4	0.9497161394971614	0.00925347733505899	0.965013851713748	Age	4	5
CalPred	10000	1	age_q_4	0.9458333333333332	0.00615478061717161	0.9621466871551184	Age	4	1
CalPred	10000	1	age_q_4	0.9458333333333332	0.005093704681398101	0.9621466871551184	Age	4	2
CalPred	10000	1	age_q_4	0.9458333333333332	0.010495601185317997	0.9621466871551184	Age	4	3
CalPred	10000	1	age_q_4	0.9458333333333332	0.010032290600009758	0.9621466871551184	Age	4	4
CalPred	10000	1	age_q_4	0.9458333333333332	0.00925347733505899	0.9621466871551184	Age	4	5
CalPred	10000	1	age_q_9	0.9545836837678722	0.004619441656886191	1.0044690346537684	Age	9	1
CalPred	10000	1	age_q_9	0.9545836837678722	0.0052546306040656115	1.0044690346537684	Age	9	2
CalPred	10000	1	age_q_9	0.9545836837678722	0.007047112560170426	1.0044690346537684	Age	9	3
CalPred	10000	1	age_q_9	0.9545836837678722	0.00599038496786847	1.0044690346537684	Age	9	4
CalPred	10000	1	age_q_9	0.9545836837678722	0.004707047493281088	1.0044690346537684	Age	9	5
CalPred	10000	1	education_q_1	0.98	0.007954183560206647	1.1362264145575296	Education	1	1
CalPred	10000	1	education_q_1	0.98	0.007576688593694257	1.1362264145575296	Education	1	2
CalPred	10000	1	education_q_1	0.98	0.006659627397457608	1.1362264145575296	Education	1	3
CalPred	10000	1	education_q_1	0.98	0.0156605523388291	1.1362264145575296	Education	1	4
CalPred	10000	1	education_q_1	0.98	0.024280618958022516	1.1362264145575296	Education	1	5
CalPred	10000	1	education_q_4	0.949984121943474	0.004210757281539061	0.910082204017268	Education	4	1
CalPred	10000	1	education_q_4	0.949984121943474	0.003100414024832791	0.910082204017268	Education	4	2
CalPred	10000	1	education_q_4	0.949984121943474	0.004532415143305517	0.910082204017268	Education	4	3
CalPred	10000	1	education_q_4	0.949984121943474	0.004102184926766991	0.910082204017268	Education	4	4
CalPred	10000	1	education_q_4	0.949984121943474	0.004459902841679727	0.910082204017268	Education	4	5
CalPred	10000	1	income_q_1	0.9619450317124736	0.030214214816345796	1.0612288854421847	Income	1	1
CalPred	10000	1	income_q_1	0.9619450317124736	0.029864654524908697	1.0612288854421847	Income	1	2
CalPred	10000	1	income_q_1	0.9619450317124736	0.027615229255711568	1.0612288854421847	Income	1	3
CalPred	10000	1	income_q_1	0.9619450317124736	0.022723348504991973	1.0612288854421847	Income	1	4
CalPred	10000	1	income_q_1	0.9619450317124736	0.022845047180053365	1.0612288854421847	Income	1	5
CalPred	10000	1	income_q_5	0.9480369515011547	0.005180915362852903	0.97332011919098	Income	5	1
CalPred	10000	1	income_q_5	0.9480369515011547	0.004887834475892757	0.97332011919098	Income	5	2
CalPred	10000	1	income_q_5	0.9480369515011547	0.007518514683206705	0.97332011919098	Income	5	3
CalPred	10000	1	income_q_5	0.9480369515011547	0.006440231566948339	0.97332011919098	Income	5	4
CalPred	10000	1	income_q_5	0.9480369515011547	0.005718714829008516	0.97332011919098	Income	5	5
CalPred	10000	1	income_q_9	0.950281425891182	0.00027764300011020595	0.8771974580333557	Income	9	1
CalPred	10000	1	income_q_9	0.950281425891182	0.000571239955357592	0.8771974580333557	Income	9	2
CalPred	10000	1	income_q_9	0.950281425891182	0.00019211226850573558	0.8771974580333557	Income	9	3
CalPred	10000	1	income_q_9	0.950281425891182	7.590191007299157e-05	0.8771974580333557	Income	9	4
CalPred	10000	1	income_q_9	0.950281425891182	4.639561505558755e-06	0.8771974580333557	Income	9	5
CalPred	10000	1	marginal	0.9521	0.005266888597405782	0.9498428080392076	Overall		1
CalPred	10000	1	marginal	0.9521	0.0046260957744540315	0.9498428080392076	Overall		2
CalPred	10000	1	marginal	0.9521	0.00620585063352635	0.9498428080392076	Overall		3
CalPred	10000	1	marginal	0.9521	0.0059494916193162314	0.9498428080392076	Overall		4
CalPred	10000	1	marginal	0.9521	0.005792384786822704	0.9498428080392076	Overall		5
CalPred	10000	1	sex_q_0	0.9504383007417396	0.0092555547988491	0.9200367544074184	Sex	0	1
CalPred	10000	1	sex_q_0	0.9504383007417396	0.007121716296130601	0.9200367544074184	Sex	0	2
CalPred	10000	1	sex_q_0	0.9504383007417396	0.009236474735633623	0.9200367544074184	Sex	0	3
CalPred	10000	1	sex_q_0	0.9504383007417396	0.008253385412357735	0.9200367544074184	Sex	0	4
CalPred	10000	1	sex_q_0	0.9504383007417396	0.007953228915008055	0.9200367544074184	Sex	0	5
CalPred	10000	1	sex_q_1	0.9545231071779744	0.0015615351621019481	0.9933063061079822	Sex	1	1
CalPred	10000	1	sex_q_1	0.9545231071779744	0.002017807005192924	0.9933063061079822	Sex	1	2
CalPred	10000	1	sex_q_1	0.9545231071779744	0.0029637766336075943	0.9933063061079822	Sex	1	3
CalPred	10000	1	sex_q_1	0.9545231071779744	0.003338644082415509	0.9933063061079822	Sex	1	4
CalPred	10000	1	sex_q_1	0.9545231071779744	0.003333452038501882	0.9933063061079822	Sex	1	5
CalPred	10000	2	age_q_0	0.9457831325301204	0.0006978601840780534	0.8563384501254621	Age	0	1
CalPred	10000	2	age_q_0	0.9457831325301204	0.000533715152674869	0.8563384501254621	Age	0	2
CalPred	10000	2	age_q_0	0.9457831325301204	3.687121355226972e-05	0.8563384501254621	Age	0	3
CalPred	10000	2	age_q_0	0.9457831325301204	0.001803890494884081	0.8563384501254621	Age	0	4
CalPred	10000	2	age_q_0	0.9457831325301204	0.0010726097387688913	0.8563384501254621	Age	0	5
CalPred	10000	2	age_q_4	0.9526813880126184	0.00023068426800202784	0.9713459515035432	Age	4	1
CalPred	10000	2	age_q_4	0.9526813880126184	0.0019020731155125958	0.9713459515035432	Age	4	2
CalPred	10000	2	age_q_4	0.9526813880126184	0.001457093764693564	0.9713459515035432	Age	4	3
CalPred	10000	2	age_q_4	0.9526813880126184	0.0010966673043546205	0.9713459515035432	Age	4	4
CalPred	10000	2	age_q_4	0.9526813880126184	0.000251131508962573	0.9713459515035432	Age	4	5
CalPred	10000	2	age_q_4	0.971802618328298	0.00023068426800202784	0.9634608345480432	Age	4	1
CalPred	10000	2	age_q_4	0.971802618328298	0.0019020731155125958	0.9634608345480432	Age	4	2
CalPred	10000	2	age_q_4	0.971802618328298	0.001457093764693564	0.9634608345480432	Age	4	3
CalPred	10000	2	age_q_4	0.971802618328298	0.0010966673043546205	0.9634608345480432	Age	4	4
CalPred	10000	2	age_q_4	0.971802618328298	0.000251131508962573	0.9634608345480432	Age	4	5
CalPred	10000	2	age_q_9	0.941031941031941	0.007653420511843653	0.9850463258576576	Age	9	1
CalPred	10000	2	age_q_9	0.941031941031941	0.006018986160266029	0.9850463258576576	Age	9	2
CalPred	10000	2	age_q_9	0.941031941031941	0.004253557678655976	0.9850463258576576	Age	9	3
CalPred	10000	2	age_q_9	0.941031941031941	0.005265846302854324	0.9850463258576576	Age	9	4
CalPred	10000	2	age_q_9	0.941031941031941	0.003840631950720248	0.9850463258576576	Age	9	5
CalPred	10000	2	education_q_1	0.961904761904762	0.002516207307816846	1.0801108824732824	Education	1	1
CalPred	10000	2	education_q_1	0.961904761904762	0.005849467570908232	1.0801108824732824	Education	1	2
CalPred	10000	2	education_q_1	0.961904761904762	0.001807337125330943	1.0801108824732824	Education	1	3
CalPred	10000	2	education_q_1	0.961904761904762	0.007608004570420341	1.0801108824732824	Education	1	4
CalPred	10000	2	education_q_1	0.961904761904762	0.0020862787857187292	1.0801108824732824	Education	1	5
CalPred	10000	2	education_q_4	0.9560827055617888	0.0036530267763622837	0.9287445367274404	Education	4	1
CalPred	10000	2	education_q_4	0.9560827055617888	0.004990748162058106	0.9287445367274404	Education	4	2
CalPred	10000	2	education_q_4	0.9560827055617888	0.0040977134960869434	0.9287445367274404	Education	4	3
CalPred	10000	2	education_q_4	0.9560827055617888	0.0028780169350554577	0.9287445367274404	Education	4	4
CalPred	10000	2	education_q_4	0.9560827055617888	0.0033599584591344953	0.9287445367274404	Education	4	5
CalPred	10000	2	income_q_1	0.948051948051948	0.0024022199202114185	1.0443640624491612	Income	1	1
CalPred	10000	2	income_q_1	0.948051948051948	0.0022836575607974746	1.0443640624491612	Income	1	2
CalPred	10000	2	income_q_1	0.948051948051948	0.0006043976809985154	1.0443640624491612	Income	1	3
CalPred	10000	2	income_q_1	0.948051948051948	0.0015615101864904445	1.0443640624491612	Income	1	4
CalPred	10000	2	income_q_1	0.948051948051948	0.0040611358124946345	1.0443640624491612	Income	1	5
CalPred	10000	2	income_q_5	0.9581881533101044	0.002657381922552598	0.9707112723531744	Income	5	1
CalPred	10000	2	income_q_5	0.9581881533101044	0.0015878118920295344	0.9707112723531744	Income	5	2
CalPred	10000	2	income_q_5	0.9581881533101044	0.003372627091222617	0.9707112723531744	Income	5	3
CalPred	10000	2	income_q_5	0.9581881533101044	0.0014871597668177595	0.9707112723531744	Income	5	4
CalPred	10000	2	income_q_5	0.9581881533101044	0.00045967514532528527	0.9707112723531744	Income	5	5
CalPred	10000	2	income_q_9	0.9565217391304348	0.002614039786636475	0.8967225151553486	Income	9	1
CalPred	10000	2	income_q_9	0.9565217391304348	0.009907423772812238	0.8967225151553486	Income	9	2
CalPred	10000	2	income_q_9	0.9565217391304348	0.007145434370938629	0.8967225151553486	Income	9	3
CalPred	10000	2	income_q_9	0.9565217391304348	0.0029235802450995785	0.8967225151553486	Income	9	4
CalPred	10000	2	income_q_9	0.9565217391304348	0.004800270408976598	0.8967225151553486	Income	9	5
CalPred	10000	2	marginal	0.9531	0.003010946774009605	0.9560364303810248	Overall		1
CalPred	10000	2	marginal	0.9531	0.004068236879165405	0.9560364303810248	Overall		2
CalPred	10000	2	marginal	0.9531	0.003997963173332294	0.9560364303810248	Overall		3
CalPred	10000	2	marginal	0.9531	0.002697322707199467	0.9560364303810248	Overall		4
CalPred	10000	2	marginal	0.9531	0.002737656401399731	0.9560364303810248	Overall		5
CalPred	10000	2	sex_q_0	0.9540132360427626	0.0022385614614123415	0.9321560538644932	Sex	0	1
CalPred	10000	2	sex_q_0	0.9540132360427626	0.004123416610952728	0.9321560538644932	Sex	0	2
CalPred	10000	2	sex_q_0	0.9540132360427626	0.003917428444681356	0.9321560538644932	Sex	0	3
CalPred	10000	2	sex_q_0	0.9540132360427626	0.0030222338887402125	0.9321560538644932	Sex	0	4
CalPred	10000	2	sex_q_0	0.9540132360427626	0.002309593195664299	0.9321560538644932	Sex	0	5
CalPred	10000	2	sex_q_1	0.9517896274653032	0.004238135276053543	0.990301601749888	Sex	1	1
CalPred	10000	2	sex_q_1	0.9517896274653032	0.003965007230532255	0.990301601749888	Sex	1	2
CalPred	10000	2	sex_q_1	0.9517896274653032	0.004074409683883512	0.990301601749888	Sex	1	3
CalPred	10000	2	sex_q_1	0.9517896274653032	0.0022269313214284296	0.990301601749888	Sex	1	4
CalPred	10000	2	sex_q_1	0.9517896274653032	0.0033365845011044427	0.990301601749888	Sex	1	5
CalPred	10000	3	age_q_0	0.9265536723163842	4.7842071166459065e-05	0.7872183402001409	Age	0	1
CalPred	10000	3	age_q_0	0.9265536723163842	0.000389064560848488	0.7872183402001409	Age	0	2
CalPred	10000	3	age_q_0	0.9265536723163842	2.806021655406265e-06	0.7872183402001409	Age	0	3
CalPred	10000	3	age_q_0	0.9265536723163842	2.7972312897403096e-05	0.7872183402001409	Age	0	4
CalPred	10000	3	age_q_0	0.9265536723163842	4.400534766348743e-06	0.7872183402001409	Age	0	5
CalPred	10000	3	age_q_4	0.9417004048582996	0.00022048032972423593	0.9550807373327987	Age	4	1
CalPred	10000	3	age_q_4	0.9417004048582996	0.00021307601080579542	0.9550807373327987	Age	4	2
CalPred	10000	3	age_q_4	0.9417004048582996	0.0002455635511911081	0.9550807373327987	Age	4	3
CalPred	10000	3	age_q_4	0.9417004048582996	0.0012040790758074303	0.9550807373327987	Age	4	4
CalPred	10000	3	age_q_4	0.9417004048582996	0.00021223039151268598	0.9550807373327987	Age	4	5
CalPred	10000	3	age_q_4	0.94129763130793	0.00022048032972423593	0.945252271474208	Age	4	1
CalPred	10000	3	age_q_4	0.94129763130793	0.00021307601080579542	0.945252271474208	Age	4	2
CalPred	10000	3	age_q_4	0.94129763130793	0.0002455635511911081	0.945252271474208	Age	4	3
CalPred	10000	3	age_q_4	0.94129763130793	0.0012040790758074303	0.945252271474208	Age	4	4
CalPred	10000	3	age_q_4	0.94129763130793	0.00021223039151268598	0.945252271474208	Age	4	5
CalPred	10000	3	age_q_9	0.9471974004874086	0.0015466367643321573	0.9737251336739764	Age	9	1
CalPred	10000	3	age_q_9	0.9471974004874086	0.0017426086986854065	0.9737251336739764	Age	9	2
CalPred	10000	3	age_q_9	0.9471974004874086	0.0037160286980254605	0.9737251336739764	Age	9	3
CalPred	10000	3	age_q_9	0.9471974004874086	0.0006582710539577945	0.9737251336739764	Age	9	4
